housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
50,2141,449,1777,426,69.1975,3,178800
39,1148,271,1161,333,55.4175,3,176700
33,2612,533,2496,606,78.325,3,156000
45,2839,574,1768,653,78.265,3,214000
47,2183,457,1445,503,91.6675,3,210900
43,2230,465,1667,543,71.6675,3,217800
43,2222,464,1817,606,68.665,3,208900
39,1415,319,1467,351,75.375,3,156300
42,1525,338,1688,432,79.2275,3,141300
52,125,87,99,40,85.9375,3,170000
42,598,172,312,144,65.625,3,164300
42,4198,818,1935,878,92.96,3,277300
52,1740,377,749,335,89.1825,3,270700
29,3768,741,2320,1030,69.2125,3,204500
47,1375,312,1512,418,52.6775,3,208900
46,1613,354,966,416,73.48,3,230300
36,1832,394,934,486,76.3025,3,276600
39,3825,751,1378,746,110.235,3,352600
38,4453,864,1830,1099,90.4525,3,495600
45,1607,353,633,332,78.6125,3,438300
50,2384,493,836,337,321.9075,3,500001
52,1942,413,1375,477,68.37,3,209100
52,2290,476,1278,485,95.9825,3,238200
50,2037,430,1089,417,89.375,3,230600
30,2774,563,1076,580,132.4,3,500001
40,2681,546,1144,669,76.1525,3,264300
39,2196,459,1165,538,73.5425,3,254200
43,1711,372,1190,429,87.93,3,265500
24,3696,728,1685,1031,59.4725,3,266700
49,2850,576,1113,380,323.9775,3,500001
48,1448,325,681,287,80.8325,3,436400
52,3136,627,1213,606,89.515,3,391900
37,5305,1017,3895,1874,51.68,3,283300
25,1590,350,568,206,210.9725,3,500001
52,1954,415,645,237,173.4775,3,500001
52,1875,401,735,293,146.6475,3,433300
39,3895,764,1271,536,200.1825,3,500001
40,2822,571,907,414,181.73,3,498700
52,3410,677,1218,783,103.75,3,393500
42,2462,507,857,482,102.0825,3,434400
33,5135,986,2404,1292,81.155,3,435700
48,4472,867,2796,1397,59.935,3,410700
38,3495,692,1939,994,55.37,3,438300
48,1601,352,784,461,76.605,3,342900
37,2330,483,846,457,205.8375,3,430200
34,1856,398,540,264,102.0825,3,500001
23,1894,405,769,392,150.88,3,500001
45,2375,491,751,410,166.8475,3,500001
23,4574,885,1624,995,102.4125,3,500001
40,5485,1049,2034,1133,92.435,3,500001
26,3977,778,1720,935,83.95,3,364500
52,1295,297,578,273,74.4,3,405100
52,1096,261,423,230,75.4475,3,500001
18,7432,1398,3596,2270,70.09,3,225000
16,2930,591,1648,980,66.145,3,372200
20,2745,557,1161,739,97.61,3,436400
18,4109,802,2103,1116,58.125,3,250000
24,5477,1047,2863,1755,46.125,3,237500
51,937,233,527,333,108.9275,3,468800
29,3193,638,2039,1265,45.5225,3,500001
24,1996,423,1215,672,38.5725,3,325000
28,2223,464,1271,684,63.585,3,232100
30,5293,1014,4123,2127,37.75,3,187500
43,2732,555,3049,1429,32.8925,3,333300
40,4984,959,4828,2028,42.2575,3,350000
28,1759,380,1463,620,43.265,3,450000
35,7517,1413,5899,2769,48.385,3,340000
25,3926,769,4865,1612,40.28,3,262500
36,2288,475,3030,890,38.32,3,250000
33,766,202,918,305,42.625,3,350000
48,1116,265,1610,483,40.625,3,237500
45,1913,408,1552,611,52.22,3,237500
43,1615,355,1460,644,35.0125,3,193800
34,2473,509,2655,1083,40.8275,3,162500
30,1679,366,1445,579,53.5075,3,200000
29,732,196,691,278,54.665,3,250000
34,399,136,482,134,40.625,3,67500
34,2065,435,2626,775,45.535,3,211100
28,720,194,891,265,47.4425,3,100000
37,773,204,835,312,46.44,3,193800
32,563,166,626,185,50.8525,3,250000
27,210,103,332,112,63.89,3,175000
36,1655,362,1957,633,43.3125,3,221900
34,1478,330,1976,653,51.3925,3,225000
31,622,176,597,227,38.21,3,200000
30,2193,458,2197,836,45.6925,3,137500
52,786,206,756,273,55.7775,3,206300
29,3403,675,3432,1174,42.7075,3,166700
40,3058,613,3953,1223,45.39,3,218800
36,787,206,1506,360,31.03,3,216700
38,2067,436,2717,853,44.1025,3,250000
36,2284,475,1964,839,48.2425,3,203300
34,2716,552,2991,1021,43.785,3,187500
36,2332,483,3155,927,56.53,3,230400
39,631,178,744,274,67.635,3,162500
29,2240,467,2254,739,58.2925,3,172500
38,790,207,664,194,75.8925,3,175000
43,1583,349,1941,614,49.5875,3,225000
28,1562,345,1974,597,49.415,3,112500
35,2198,459,3441,912,51.1675,3,158300
35,2624,536,3548,1008,50.33,3,198400
39,336,125,586,151,45.14,3,262500
52,1272,293,984,353,47.6575,3,261600
29,3245,647,3906,1102,54.8175,3,253300
25,2345,486,2860,862,36.2425,3,205600
32,2202,460,2178,635,50.7675,3,226700
36,2517,516,2446,689,53.81,3,187500
30,3165,633,3678,1141,50,3,240600
42,1951,415,2500,813,37.9875,3,218200
44,2666,543,2297,726,41.9,3,208800
30,1871,401,2595,819,50.11,3,212500
28,2173,455,2548,763,46.975,3,218800
36,654,182,416,138,92.3825,3,200000
36,561,166,340,127,35.9375,3,165000
40,2004,424,1514,542,49.7775,3,220000
5,2665,543,1733,766,58.92,3,204700
14,3032,609,1691,841,55,3,210000
50,3457,685,1584,841,77.695,3,346700
52,1731,375,849,466,82.365,3,321600
52,1430,321,547,178,259.1525,3,500001
47,1800,388,921,478,70.0525,3,280600
52,1003,245,514,204,96.18,3,395700
52,2088,439,908,375,95.3525,3,342000
42,2210,461,1228,605,64.955,3,315800
52,1710,372,727,355,114.5825,3,333900
52,1965,417,794,451,82.06,3,304800
52,1164,274,575,251,78.125,3,380400
52,1777,384,671,439,87.7075,3,500001
50,2989,601,1345,775,81.065,3,442900
30,1390,314,1460,423,56.055,3,254500
31,2275,473,2189,720,43.855,3,287500
46,2038,430,1250,525,60.49,3,358100
23,1443,324,1264,450,68.8575,3,220000
52,1137,269,754,297,84.25,3,330300
52,2370,490,1053,434,103.5725,3,380300
34,2501,514,3326,970,46.9275,3,247500
36,1276,294,1502,450,54.415,3,205600
27,1514,336,1603,518,72.4275,3,251100
26,1609,354,1868,497,67.595,3,227100
34,479,151,557,170,38.125,3,210000
23,1864,399,2795,858,46.2375,3,212500
34,1562,345,1774,559,39.2125,3,225000
32,2880,582,3646,1028,59.615,3,258300
25,2459,506,2635,763,60,3,173900
38,380,133,445,140,48.215,3,137500
34,2821,571,843,391,290.375,3,500001
26,3902,765,1468,632,212.84,3,500001
33,7478,1406,2701,1500,104.2925,3,500001
35,3946,773,1361,620,162.9875,3,500001
38,2601,532,870,474,177.835,3,416700
42,5518,1055,1863,957,214.605,3,500001
36,2963,596,1129,745,63.97,3,500001
37,407,138,100,47,375.0025,3,500001
39,3798,746,975,525,232.73,3,500001
30,6310,1197,1776,880,223.6,3,500001
41,730,196,230,125,108.035,3,500001
38,2158,452,1061,577,74.1075,3,355300
40,3110,623,1557,763,49.8425,3,367100
52,2946,593,1258,650,99.4575,3,374100
22,3008,605,1224,816,80.3725,3,300000
31,2697,549,1059,689,72.355,3,500001
45,2195,459,1265,455,84.66,3,397900
52,1466,328,600,253,143.81,3,393600
52,1234,286,543,213,150.845,3,423700
48,2566,525,1421,563,91.4475,3,318600
52,1310,300,689,208,101.8025,3,350000
51,3149,630,1082,510,161.1475,3,421600
41,3729,734,1364,707,144.445,3,412700
41,4138,807,1859,1030,74.45,3,306800
46,1156,272,514,213,105.0475,3,352100
52,2036,430,775,332,135.305,3,397500
52,1803,388,787,388,114.4525,3,360500
44,2728,554,1227,567,101.505,3,324000
50,2113,444,793,418,117.83,3,304600
49,1767,382,1066,438,77.395,3,210900
48,805,209,633,235,58.5525,3,200000
49,2843,575,2004,796,69.6875,3,217300
48,1527,339,589,286,104.1675,3,344800
52,3225,643,1559,710,99.185,3,268800
52,2273,473,1480,597,58.3325,3,196500
52,2327,482,1048,491,94.6175,3,252300
51,1532,340,669,333,91.085,3,278800
36,3503,693,2652,788,96.12,3,241400
52,1079,258,439,201,115.625,3,230800
44,3646,719,1783,861,74.2725,3,225000
52,984,241,994,260,59.54,3,166700
41,1396,315,1069,363,60.9375,3,203300
46,945,234,910,252,87.5975,3,187500
35,1147,271,1016,296,59.7825,3,198800
36,2306,479,2823,765,50.535,3,170500
28,579,169,673,202,65.625,3,187500
27,1190,278,1795,422,42.54,3,160000
38,2265,471,2899,792,63.8025,3,157500
46,3007,604,2587,814,67.9475,3,184300
42,997,244,982,372,73.5575,3,200000
52,2465,507,2328,746,65.445,3,203100
43,962,237,658,244,80.965,3,185000
38,1270,293,1692,450,46.75,3,170800
42,1618,355,1454,440,79.0175,3,182000
52,1739,377,938,482,61.0725,3,228800
39,3162,632,1934,818,71.875,3,213500
40,1630,357,1568,510,68.415,3,169100
49,3828,752,2862,1009,61.6925,3,219200
35,1335,304,1586,445,49.305,3,156300
40,506,156,397,114,79.86,3,143800
52,109,84,86,24,124.61,3,187500
52,137,89,65,24,100.625,3,137500
47,859,219,913,234,66.105,3,136100
49,1638,359,1500,430,67.3075,3,150000
45,1747,378,1680,441,65.1275,3,155500
52,2050,433,957,418,89.0075,3,210000
52,104,84,32,17,93.75,3,241700
44,1425,321,1121,374,52.77,3,200000
47,2133,448,2104,662,65.34,3,169200
43,1903,406,1919,613,65.84,3,174300
52,1866,400,1211,417,73.375,3,189400
50,1791,386,2183,675,44.8625,3,166700
45,2174,455,1992,557,63.57,3,167800
52,3142,629,1728,682,79.66,3,189800
45,2225,464,2699,792,48.0225,3,179200
46,2341,485,2371,648,60.095,3,181700
52,830,214,701,189,69.0625,3,232100
47,2059,434,2033,544,47.57,3,217900
43,764,202,1275,306,50,3,175000
20,41,72,87,25,38.7275,3,225000
27,223,105,249,82,40.34,3,137500
18,4297,836,4332,1286,56.3625,3,192500
16,719,194,801,218,59.855,3,133300
40,1081,259,970,263,46.875,3,150000
31,394,136,573,131,45.4325,3,154200
34,1709,371,2105,503,49.26,3,152100
38,1241,288,1055,263,58.5225,3,115500
49,1320,302,1405,328,60.9375,3,114000
21,1353,308,1688,367,49.8425,3,139600
34,1765,382,2203,500,56.77,3,159600
39,986,242,1347,299,57.2675,3,133900
26,2574,527,3163,802,48.7375,3,173200
39,1594,351,1668,378,63.3575,3,138200
41,1807,389,1699,424,55.555,3,126000
39,2054,433,1205,403,105.975,3,213000
52,3672,724,3062,764,67.015,3,153000
39,1287,296,1171,345,40.295,3,138500
39,1561,345,1780,391,61.58,3,144200
37,1822,392,1961,506,49.7025,3,159200
35,1504,335,2059,498,50.3325,3,145800
36,839,215,1079,245,43.6575,3,158300
31,1077,258,1198,274,53.3325,3,160200
52,1770,382,1848,439,60.3375,3,167200
47,1346,306,1452,371,43.23,3,191700
31,1453,326,1486,389,59.6475,3,153100
42,902,227,1312,323,48.4375,3,168800
29,1478,330,1580,394,46.9525,3,147500
36,3334,663,2881,800,54.24,3,170800
48,2514,516,2484,601,77.865,3,142500
37,299,119,318,92,32.8125,3,145800
45,1327,303,1069,284,84.9425,3,153800
40,2744,557,2747,674,65.565,3,148800
44,1688,368,1605,384,84.4625,3,184900
41,2090,440,2043,537,49.265,3,144200
10,1907,407,921,369,121.875,3,200400
10,1940,413,763,412,124.375,3,166700
7,2529,519,1215,577,119.6325,3,153100
8,1116,265,435,235,123.0775,3,230900
35,2226,464,2230,549,72.9175,3,129300
35,1554,344,1487,374,47.595,3,139500
38,2965,597,2128,650,75.6025,3,166300
42,1555,344,1152,348,84.375,3,169600
44,1734,376,1133,351,62.83,3,163100
33,1515,337,1345,346,59.375,3,175000
50,1568,346,1093,333,78.605,3,162100
36,3066,615,3097,780,63.8075,3,156500
33,2907,586,3212,793,55.87,3,146600
31,1318,301,1164,289,74.8475,3,135500
33,1369,310,1475,377,58.2025,3,151900
43,1523,338,1338,352,80.0775,3,144600
39,787,206,731,179,80.6975,3,158500
33,851,218,936,228,84.375,3,147500
28,2616,534,2218,621,67.105,3,156000
19,2150,451,1510,467,87.38,3,150000
41,247,109,925,50,89.4225,3,135700
37,1155,272,814,241,96.875,3,148500
27,2025,428,2189,577,65.2075,3,148600
32,555,164,748,163,49.405,3,137500
47,2324,482,3020,594,29.67,3,93800
46,453,146,533,132,57.4025,3,112500
40,1181,277,1441,337,52.84,3,111800
8,762,202,728,174,62.215,3,137500
46,1051,253,1435,305,41.6675,3,133600
36,2672,544,2883,674,52.2125,3,142800
37,349,127,276,64,80.3125,3,125000
46,321,122,401,86,52.5725,3,109400
30,511,157,1152,149,59.0275,3,156800
52,48,73,41,10,255.66,3,112500
36,1243,288,1668,444,26.785,3,137500
52,470,149,434,123,52.375,3,109100
34,1083,259,1132,338,55.86,3,153100
34,1113,265,928,290,79.135,3,155000
41,1422,320,1640,434,40.305,3,157100
26,745,199,694,236,34.615,3,129200
28,1079,258,1358,285,63,3,131900
28,950,235,1485,345,48.1775,3,136400
45,2146,450,2868,625,53.025,3,144000
43,1165,274,1279,303,49.0375,3,141700
40,1146,270,1354,321,48.0125,3,121900
40,1082,259,1085,273,42.635,3,117200
42,1703,370,2490,581,50.5,3,147200
41,1268,292,1887,407,65.625,3,150000
43,977,240,1084,259,69.27,3,127900
41,1098,262,1178,245,52.645,3,124300
50,1407,317,1526,385,57.25,3,121800
45,963,238,1194,239,54.515,3,134900
40,1095,261,1322,281,49.22,3,150000
52,1053,254,1036,249,52.6775,3,136700
50,1183,277,851,231,81.5975,3,142600
52,1249,289,1223,297,51.75,3,136300
47,1894,405,1629,379,94.0475,3,127600
52,1754,380,1849,445,59.29,3,122800
44,1399,316,1419,373,45.56,3,143800
36,1625,356,2003,478,54.525,3,147200
44,1582,349,1998,515,42.22,3,125000
18,796,208,547,218,25.8325,3,135400
36,1825,392,2097,480,54.655,3,135300
37,845,216,881,252,56.135,3,165000
47,1325,303,1557,352,70,3,148400
28,1841,395,3199,727,40.7975,3,151600
52,846,217,1153,281,54.8075,3,155000
43,1153,272,1667,409,48.505,3,139300
47,722,194,930,226,63.6375,3,114300
43,798,208,1417,325,35.4725,3,141700
44,1105,263,1598,372,30,3,115600
43,2343,485,2468,707,37.9075,3,115000
43,1502,334,1844,477,48.5125,3,152500
47,1306,299,1499,346,56.97,3,139600
45,554,164,888,218,45.3125,3,139600
45,1860,399,1893,456,66.4325,3,141800
44,1550,343,1718,403,63.17,3,141100
52,497,154,547,121,55.2075,3,146300
47,876,222,872,231,56.64,3,145000
41,1292,297,1150,322,48.125,3,135200
49,1098,262,1411,301,68.75,3,146000
52,774,204,813,203,58.68,3,135200
37,1583,349,1776,377,68.165,3,140800
52,583,169,730,174,35.2875,3,140600
45,792,207,872,188,67.1875,3,129700
44,2702,550,3260,721,58.9375,3,144800
48,2230,465,2419,598,59.86,3,130700
26,36,71,35,9,40.625,3,175000
42,498,154,548,119,93.8575,3,126600
52,22,69,55,7,189.38,3,67500
43,1811,390,2123,487,34.0375,3,133300
52,346,127,346,251,63.2825,3,225000
13,1703,370,1823,669,20.72,3,181300
52,116,86,171,92,26.9225,3,112500
33,390,135,435,193,29.9475,3,350000
8,1204,281,1074,517,25.5675,3,87500
19,2870,580,3325,978,43.4875,3,162500
52,2806,568,2232,1605,16.9375,3,350000
8,3105,622,1086,997,20.3275,3,275000
12,4011,784,1673,1088,132.7025,3,287500
52,58,75,41,27,102.43,3,500001
6,1529,339,1051,473,61.55,3,162500
52,174,96,249,57,44.4075,3,312500
15,326,123,490,105,37.215,3,175000
40,637,179,1150,263,46.5625,3,131300
52,1802,388,2382,587,46.095,3,185900
40,680,187,995,249,56.5175,3,165600
30,929,232,763,214,63.0675,3,187500
38,715,193,1174,300,58.625,3,225000
42,2541,521,3974,1189,39.635,3,87500
42,1175,276,1593,407,58.595,3,213300
30,1771,383,2188,764,39.7125,3,154200
34,786,206,1239,320,58.595,3,152100
32,1657,362,2071,598,52.8375,3,152500
33,1416,319,2013,614,49.545,3,208300
33,1177,276,1533,430,59.9525,3,183300
41,1072,257,1111,314,48.0825,3,207100
24,3247,647,2642,1182,61.58,3,216700
14,1924,410,2226,792,56.38,3,265900
32,1777,384,1684,489,59.09,3,190000
25,7522,1414,7221,2902,50.4325,3,177500
14,1787,385,2251,763,29.105,3,400000
17,2518,517,3051,1000,42.9975,3,175000
17,2124,446,3915,1137,28.365,3,137500
25,1714,372,3723,1036,33.1025,3,112500
45,564,166,1172,319,37.35,3,187500
26,513,157,1204,321,37.26,3,275000
33,1950,415,3707,1012,43.095,3,110000
37,350,128,1122,248,69.085,3,137500
52,1292,297,2081,724,23.9075,3,275000
52,1261,291,2309,581,40.46,3,225000
52,936,233,990,354,27.805,3,187500
42,2472,508,3795,1179,30.635,3,162500
25,1316,301,2796,784,44.665,3,325000
26,1164,274,1685,541,39.3175,3,225000
28,1306,299,2079,598,36.5375,3,275000
31,1525,338,2510,652,40.8875,3,162500
41,1788,386,2931,702,36.0325,3,158900
41,1075,258,2260,614,32.5,3,162500
44,968,239,1805,375,37.0025,3,212500
47,661,183,1406,307,32.9225,3,112500
13,1784,385,2158,682,42.595,3,118100
24,323,123,751,189,45.76,3,225000
12,535,161,1194,365,30.03,3,275000
52,2156,452,861,311,220.155,3,500001
52,1841,395,693,218,375.0025,3,500001
52,2248,468,813,265,375.0025,3,500001
52,1482,331,531,161,375.0025,3,500001
52,2089,440,883,281,186.435,3,500001
52,1311,300,707,290,87.03,3,432800
49,649,181,987,329,42.015,3,316700
19,3013,605,2465,1008,63.465,3,290600
9,1554,344,1704,761,50.4625,3,141700
22,492,153,634,261,41.015,3,300000
26,2302,478,2660,1004,58.9175,3,253100
43,3056,613,3920,1304,48.125,3,300000
31,1489,332,1793,556,60.87,3,230600
46,5677,1083,7443,2406,45.595,3,237500
26,2107,443,2660,740,58.4375,3,282300
36,2657,542,2274,723,85.625,3,281700
28,2362,489,2759,894,55.91,3,305600
49,2549,522,1539,594,65.545,3,350900
40,2657,542,2149,749,56.6325,3,445000
52,2980,599,967,359,280.4625,3,500001
36,369,131,145,136,22.01,3,450000
52,983,241,578,204,143.4825,3,500001
25,2740,556,1420,664,89.7725,3,404500
52,955,236,457,120,375.0025,3,500001
26,5062,973,4533,1822,57.7625,3,166700
30,3110,623,2535,1218,42.4675,3,412500
18,3759,739,3296,1462,56.77,3,175000
20,3264,650,2919,1191,59.185,3,500001
20,1782,385,1749,823,55.235,3,75000
34,2470,508,2326,1055,47.595,3,325000
24,4021,786,3727,1529,43.4125,3,112500
28,5221,1002,5840,2374,47.0725,3,300000
43,1366,310,942,672,42.3825,3,150000
42,3894,763,6846,2156,38.8825,3,70000
27,2456,505,4137,1104,39.885,3,187500
46,1759,380,2716,877,54.0925,3,350000
47,1390,314,2860,827,36.7,3,137500
23,2040,431,2235,697,48.2725,3,233300
33,2437,502,3906,1084,50.83,3,270000
21,3960,775,3468,1335,45.535,3,475000
23,2512,516,3720,1118,44.74,3,322200
24,1336,305,1268,426,70.505,3,500001
47,3038,610,4225,1472,41.8125,3,187500
34,1848,396,1351,589,51.3675,3,410000
52,2124,446,1920,756,53.5875,3,328900
31,2827,572,3107,993,50.695,3,360000
14,1559,345,1639,567,49.8725,3,380000
42,3292,655,2224,674,88.7925,3,291500
43,2808,569,1654,569,103.125,3,436800
36,3239,646,1383,612,114.795,3,337000
52,1368,310,737,248,209.0425,3,433800
48,2405,496,1868,502,84.375,3,257800
44,1574,347,1323,404,63.21,3,226300
45,1707,371,1446,466,54.34,3,171300
50,1389,314,976,302,39.705,3,327300
42,3343,665,3480,1146,49.8075,3,250000
35,1692,368,1578,406,63.2825,3,305800
40,1667,364,1161,384,78.515,3,417600
44,1612,354,2028,593,47.88,3,115600
42,1476,330,1605,545,43.025,3,214300
42,443,144,582,223,57.3425,3,350000
46,1386,314,1845,485,53.535,3,157700
31,1744,378,2034,633,56.71,3,193800
30,1417,319,1615,540,34.6675,3,193800
34,1102,263,1325,439,39.93,3,168800
36,1723,374,1664,501,48.3075,3,161100
34,1453,326,1987,589,52.4,3,187500
18,3585,708,5229,1534,46.175,3,250000
11,677,186,1143,341,59.66,3,350000
31,2818,570,4126,1200,51.325,3,229200
52,1801,388,714,293,117.095,3,479000
52,2497,513,1030,412,122.25,3,500001
52,2315,480,894,345,103.32,3,500001
52,2066,436,981,297,146.58,3,450000
52,1421,320,495,167,264.65,3,500001
52,1721,374,688,196,375.0025,3,500001
52,1621,356,588,272,155.5575,3,500001
52,3421,679,1203,564,104.045,3,500001
52,2756,559,971,510,139.6775,3,500001
52,2877,581,1186,704,81.6125,3,175000
52,2373,491,1135,576,79.4125,3,225000
52,1902,406,848,478,74.0525,3,175000
48,890,225,434,232,90.2775,3,450000
45,7803,1465,3359,2041,83.985,3,287500
46,1651,361,512,397,100.4475,3,350000
45,3312,659,1157,809,89.2975,3,500001
40,1821,392,777,441,58.4375,3,355200
48,1740,377,748,357,117.5475,3,411100
50,2519,517,1117,516,109.1675,3,405600
52,2046,432,944,435,85.6625,3,456900
52,2203,460,899,384,106.25,3,486900
52,2195,459,884,432,131,3,486400
44,2703,550,1045,619,80.025,3,287500
39,2309,479,870,546,79.1925,3,453400
52,1084,259,468,255,85.715,3,474300
25,4625,895,1739,1191,84.9725,3,485000
16,4814,929,1897,1209,84.3125,3,375000
21,3653,720,1510,890,88.9325,3,500001
52,3175,634,1594,997,79.415,3,225000
52,3446,683,1768,1245,61.805,3,500001
52,1314,301,629,214,179.1725,3,500001
52,2530,519,1122,449,97.9175,3,321600
52,2069,436,826,377,88.7025,3,396000
52,1482,331,768,300,92.9175,3,327300
52,2837,574,1164,551,81.0275,3,250000
48,1354,308,716,309,92.9175,3,385000
52,1368,310,617,303,134.5475,3,440900
33,2880,582,1416,736,66.9525,3,328800
48,3551,702,1601,827,80.6975,3,400000
39,2810,569,1109,624,81.25,3,355000
52,2130,447,921,395,74.0125,3,500001
52,843,216,333,151,112.98,3,446000
52,1608,353,630,252,138.99,3,500001
28,2522,517,991,574,78.6875,3,362500
29,3946,773,1676,876,69.56,3,450000
31,4345,844,1987,1070,70.5825,3,310000
25,2558,524,1183,636,88.89,3,500000
35,2457,506,1159,523,77.155,3,345300
52,1197,280,671,219,95.625,3,278500
48,1266,292,539,222,100.125,3,275000
41,2369,490,1252,522,74.7075,3,296100
52,2239,467,832,411,127.145,3,470000
52,2346,486,1121,400,101.4575,3,444300
52,1563,345,776,308,90.625,3,440900
52,2402,496,878,464,100.5425,3,500001
48,1825,392,728,363,84.56,3,322600
47,1424,320,632,278,101.5625,3,295200
48,1835,394,956,370,82.0325,3,243600
49,995,243,462,194,69.7925,3,242000
45,1879,402,946,409,83.3325,3,254700
50,3518,696,1724,758,77.0825,3,338100
52,2053,433,900,417,76.7675,3,417900
47,1621,356,724,311,143.7725,3,474100
52,1004,245,590,226,106.01,3,351000
52,1241,288,526,214,110.4775,3,334100
49,702,191,458,187,122.395,3,333600
40,2352,487,1133,563,80.95,3,287500
35,3517,696,1632,784,77.39,3,500001
47,2815,570,1533,594,64.515,3,234100
44,1856,398,1374,469,52.46,3,158000
42,1372,311,674,271,71.9825,3,202100
45,2283,474,1093,475,64.145,3,252000
46,2149,450,905,443,72.1025,3,290800
50,2009,425,1130,402,79.86,3,213500
39,975,240,723,285,56.8125,3,140600
52,1971,418,1065,409,91.0875,3,195800
52,2194,458,997,438,66.635,3,259400
39,2965,597,2638,794,63.3,3,172700
39,1294,297,1140,313,56.385,3,165000
48,1184,277,953,311,58.815,3,156300
31,1090,260,955,239,72.825,3,192500
46,3015,606,2300,725,51.765,3,268500
52,2545,521,1004,372,90.9325,3,420000
41,2099,441,1369,465,68.5225,3,167100
35,2345,486,2042,565,64.8875,3,139700
40,2064,435,2140,617,55.635,3,127100
37,1466,328,1835,500,42.535,3,123200
36,1956,416,1672,546,46.7125,3,150700
49,1104,263,668,297,77.14,3,151600
45,1579,348,713,335,54.2775,3,179200
48,1769,382,993,405,58.035,3,139400
45,1767,382,1052,379,87.9025,3,157000
38,1626,357,1019,372,59.2175,3,146800
43,1690,368,1017,359,52.695,3,133500
37,1236,287,966,292,76.735,3,122200
34,3239,646,2331,765,51.345,3,125800
41,1617,355,1110,375,61.5875,3,169400
44,865,220,537,183,47.5,3,110900
45,1839,395,1312,460,64.0625,3,138000
42,1681,366,987,337,65,3,171400
48,1426,321,784,356,41.4525,3,118800
42,2010,425,1203,427,48.52,3,134600
35,1438,323,794,306,49.375,3,138100
33,1806,389,1161,393,64.8175,3,161500
33,2314,480,1714,582,43.4425,3,183900
48,2437,502,1400,426,65.7,3,251100
47,1989,422,1430,519,45.8325,3,151100
42,1766,382,1117,367,50.6475,3,168800
44,1008,246,544,223,71.635,3,176800
35,3189,637,2221,801,52.615,3,114000
39,2840,574,1911,688,47.545,3,137500
47,1082,259,455,193,75.33,3,223200
50,1845,396,1109,335,72.4275,3,127800
47,1734,376,1272,438,79.3275,3,121500
52,2511,515,1660,546,65.245,3,127100
51,2010,425,1355,433,50.76,3,133400
47,1648,361,1120,338,50.105,3,114200
45,1667,364,928,375,46.9575,3,118200
46,1528,339,933,366,54.9475,3,125700
46,2312,480,1552,603,41.0725,3,125000
48,1614,354,684,318,105.545,3,181000
44,2067,436,1046,441,88.3925,3,156900
49,2334,484,1334,447,47.25,3,124000
43,2122,446,1510,436,55.6825,3,123300
52,427,141,233,116,81.25,3,134700
42,2043,431,1634,501,49.82,3,125400
36,1083,259,1023,295,53.31,3,143800
40,2323,482,1847,614,45.79,3,113500
38,1400,316,1139,315,55.92,3,120000
35,1819,391,1666,482,41.13,3,125900
38,2365,489,2259,607,52.1975,3,120700
43,1350,307,811,307,84.09,3,140900
46,2437,502,1151,477,61.11,3,134100
49,1609,354,896,389,62.89,3,136600
50,1172,275,685,260,78.605,3,130300
49,1295,297,765,265,85.765,3,130200
47,1927,411,1349,508,33.61,3,125000
43,1356,308,796,329,42.8975,3,189700
41,1425,321,838,296,99.33,3,188400
44,1944,414,981,377,65.385,3,193200
35,1627,357,3013,791,38.9125,3,152500
39,1155,272,1857,424,54.24,3,153400
41,659,183,1224,290,52.0425,3,132500
40,907,228,1426,323,46.4275,3,143800
48,1353,308,1945,487,60.8975,3,123700
50,1757,380,2080,488,43.0625,3,180000
51,1005,245,1227,306,60.7425,3,162500
39,993,243,1765,464,31.965,3,121900
38,1864,399,1768,439,48.34,3,190600
35,2007,425,1513,554,52.905,3,229200
26,1809,389,2543,640,58.84,3,500000
33,2691,548,2390,681,60.12,3,208300
29,2038,430,2070,570,51.645,3,214600
29,2438,502,2114,753,20.8775,3,150000
31,2206,461,1194,435,48.8275,3,227800
52,1277,294,954,334,64.5825,3,234600
24,2092,440,1757,538,42.7725,3,175000
37,1470,329,1579,390,50.15,3,150000
37,2338,484,2376,630,44.175,3,170300
44,1941,413,2049,535,51.0125,3,143000
41,1653,361,1868,393,44.5,3,162500
35,1090,260,1605,330,53.795,3,152800
31,700,190,1272,298,53.855,3,128100
32,432,142,702,186,53.6775,3,125000
42,1680,366,2099,526,47.9175,3,136400
45,943,234,953,238,51.6825,3,151600
42,907,228,822,288,32.1875,3,179200
29,3544,701,3323,1213,25.5475,3,258300
38,1501,334,1777,441,52.12,3,135200
22,3313,659,2381,1063,18.6825,3,168800
27,1084,259,1085,279,53.375,3,119600
46,2173,455,1343,476,50.625,3,135500
52,1902,406,1233,385,70.7375,3,132200
52,1173,275,814,295,61.25,3,111400
44,1555,344,931,265,36.78,3,105800
45,1423,320,822,276,61.2975,3,98100
52,1832,394,1186,420,31.085,3,98400
47,2241,467,1775,504,53.9275,3,147900
40,1695,369,1138,357,67.8125,3,150000
47,1315,301,785,245,30.75,3,138400
37,2781,564,2586,729,46.41,3,187500
34,2041,431,1479,495,52.9325,3,156600
23,1703,370,1333,361,32.9675,3,127100
46,1976,419,1409,431,57.4525,3,112100
49,2120,445,1522,416,46.25,3,116800
21,1641,359,1526,453,52.175,3,141300
34,3184,636,2474,705,40.775,3,137500
31,1933,412,1522,423,39.4525,3,119300
29,515,157,2690,217,12.4975,3,500001
